name,source_id,ref_dmin_pc,our_dmin_pc,ref_lo_pc,ref_hi_pc,our_lo_pc,our_hi_pc,d_ratio,ref_tmin_kyr,our_tmin_kyr,mc_censored,grade,sys_dmin_pc,window_limited,catalog
2MASS J09172289+0956305,590973206278482176,3.5265,3.6108,3.4255,3.6337,3.58478,3.63813,1.024,-1056.1,-1064.1,0.0,A,0.00309,False,BJ2018
Gaia DR3 603701328976020864,603701328976020864,10.0544,15.0273,6.5352,21.8999,12.38647,19.40819,1.495,2547.8,3577.6,0.098,B,0.10466,False,BJ2018
TYC 816-1217-1,609161533783544448,5.662,5.5926,5.4024,5.9334,5.5089,5.68544,0.988,-3124.2,-3209.5,0.0,A,0.2968,False,BJ2018
2MASS J09425550+1449484,617817988829564800,10.0859,10.0712,9.4518,10.8319,9.73505,10.43724,0.999,-2130.9,-2206.8,0.0,A,0.09977,False,BJ2018
Gaia DR2 652659794326868352,652659794326868352,5.4229,5.556,5.1813,5.6694,5.4881,5.61942,1.025,-453.5,-464.2,0.0,A,0.00021,False,BJ2018
2MASS J07573195+1523057,654696575194236288,7.1247,7.0683,6.8538,7.4091,6.98277,7.15149,0.992,-2257.7,-2266.1,0.0,A,0.13514,False,BJ2018
HIP 38492,675007406818629632,9.7288,9.8223,9.5566,9.8993,9.78496,9.86048,1.01,-537.1,-539.2,0.0,B,0.00319,False,BJ2018
GJ 3481,676689831406224128,7.9173,7.913,7.8816,7.9494,7.89051,7.93091,0.999,-177.4,-176.9,0.0,A,0.0002,False,BJ2018
10 Cnc,676768820148924416,5.1582,5.2171,5.1023,5.2115,5.19658,5.24338,1.011,611.1,615.9,0.0,A,0.00023,False,BJ2018
GJ 3478,681999884156922368,1.5954,1.551,1.5639,1.6326,1.53627,1.57099,0.972,1132.3,1125.7,0.0,A,0.00192,False,BJ2018
PM J08005+2553,682095339806345984,7.8236,7.7944,7.6705,7.9666,7.72951,7.85825,0.996,-361.8,-361.0,0.0,B,0.00065,False,BJ2018
II Cnc,692554890842416384,5.3686,5.5038,5.2747,5.4625,5.46147,5.54213,1.025,2001.9,2007.6,0.0,A,0.04521,False,BJ2018
StKM 1-780,696304088053991296,9.717,9.9377,9.4638,9.9901,9.88701,9.98895,1.023,910.1,926.7,0.0,A,0.00475,False,BJ2018
SAO 61519,701100673170441344,7.4798,6.2326,7.1852,7.7905,6.18381,6.28366,0.833,3085.9,2946.8,0.0,A,0.12779,False,BJ2018
Copernicus,704967037090946688,9.591,9.6113,9.5498,9.6296,9.59121,9.63077,1.002,-189.0,-188.8,0.0,A,0.00027,False,BJ2018
2MASS J08195239+2922388,708277288643796224,8.554,8.197,8.3051,8.8126,8.07763,8.30167,0.958,-1202.1,-1186.2,0.0,B,0.00232,False,BJ2018
TYC 2486-570-1,710658659030497280,4.1106,4.0126,4.0449,4.1753,3.99682,4.03042,0.976,919.7,911.1,0.0,A,0.00592,False,BJ2018
HD 76349,712966087261585664,9.3529,9.2271,9.2599,9.4458,9.18082,9.26431,0.987,-1265.2,-1256.8,0.0,A,0.00776,False,BJ2018
HD 76218,717094512905486976,6.689,6.5958,6.5654,6.8089,6.53706,6.65317,0.986,1781.5,1786.0,0.0,A,0.01571,False,BJ2018
HD 87680,740735868326858368,7.8516,7.8963,7.6993,7.9966,7.85873,7.93435,1.006,1435.5,1423.3,0.0,A,0.00145,False,BJ2018
20 LMi,746545172372256384,9.721,9.7381,9.6334,9.808,9.7142,9.762,1.002,-149.8,-149.7,0.0,A,0.00021,False,BJ2018
2MASS J10524612+3945081,776420926228023808,2.5545,3.3656,2.3022,2.8003,3.28817,3.44519,1.318,3867.1,3648.9,0.0,A,0.38784,False,BJ2018
2MASS J10592030+4225456,778450869506365184,1.2367,2.0008,0.9337,1.5654,1.96008,2.04656,1.618,-2534.3,-2536.4,0.0,A,0.20079,False,BJ2018
HD 95484,782221713353890816,5.9867,5.8661,5.8981,6.0845,5.8423,5.88647,0.98,1240.1,1245.1,0.0,A,0.0101,False,BJ2018
2MASS J10031933+4419369,809623226746037760,7.4099,7.6516,7.2228,7.6141,7.57782,7.71902,1.033,-1503.6,-1525.7,0.0,A,0.0534,False,BJ2018
2MASS J09273716+4225324,814521413608954624,3.58,3.6516,3.2632,3.9435,3.54833,3.76088,1.02,3078.3,3140.1,0.0,B,0.2157,False,BJ2018
GJ 380,823773494718931968,3.8243,3.8238,3.8124,3.8357,3.81737,3.83011,1.0,68.9,69.0,0.0,A,0.0,False,BJ2018
PM J10053+5218,827465242447332864,7.9716,8.0309,7.8455,8.0975,7.99569,8.06859,1.007,719.1,723.7,0.0,A,0.00169,False,BJ2018
2MASS J10564267+4824018,832607211653759360,5.587,5.7692,4.8741,6.5402,5.57362,5.9868,1.033,2404.1,2528.6,0.0,B,0.0151,False,BJ2018
2MASS J10564271+4824052,832607207358721792,9.0732,9.5148,8.1403,10.3058,9.2508,9.89633,1.049,2631.5,2744.2,0.0,B,0.08641,False,BJ2018
TYC 3447-789-1,837776428134040320,3.5457,3.75,3.4895,3.6013,3.73048,3.77102,1.058,1281.1,1276.3,0.0,A,0.04271,False,BJ2018
2MASS J11083917+6044358,861886205573209472,5.6357,6.7078,4.8107,6.8348,6.11502,7.35992,1.19,-2594.6,-2885.2,0.0,B,0.11831,False,BJ2018
2MASS J07385709+2328012,867332808220096256,8.9003,8.8101,8.2074,9.6455,8.45988,9.22687,0.99,-1749.2,-1784.6,0.0,B,0.05442,False,BJ2018
GJ 3464,873931909508892800,7.3751,7.3303,7.3249,7.43,7.3032,7.35583,0.994,436.2,435.2,0.0,A,8e-05,False,BJ2018
V377 Gem,875071278432954240,2.2485,2.2539,2.1983,2.3007,2.23721,2.27256,1.002,1329.5,1345.9,0.0,A,0.00721,False,BJ2018
Gaia DR3 891643736161459200,891643736161459200,7.2984,11.1416,6.7468,7.9095,10.66553,11.6353,1.527,2525.2,2671.6,0.0,B,0.0991,False,BJ2018
PM J07129+3547,897765743888715392,6.6933,6.6394,6.3865,7.0457,6.57816,6.69872,0.992,847.7,838.9,0.0,A,0.00448,False,BJ2018
DX Lyn,898639447612575104,6.201,6.1698,6.105,6.2998,6.11758,6.22153,0.995,1159.3,1153.9,0.0,A,0.00353,False,BJ2018
TYC 2961-1102-1,900481056573380608,10.4198,10.1202,9.2211,11.895,9.89415,10.32149,0.971,3533.9,3589.9,0.0,A,0.13436,False,BJ2018
2MASS J07295088+4014235,900485596354352384,6.7432,7.3083,6.4338,7.075,7.10411,7.54217,1.084,3896.8,3591.2,0.0,A,0.41482,False,BJ2018
GJ 3491,900887948891049856,9.8671,9.956,9.7987,9.9359,9.92543,9.98913,1.009,-364.4,-365.7,0.0,A,0.00032,False,BJ2018
HD 66046,907340329799610112,7.9349,7.9248,7.8558,8.0175,7.89676,7.9481,0.999,-665.3,-663.0,0.0,A,0.00637,False,BJ2018
2MASS J08300286+3815401,911145876981562496,4.4857,0.4739,4.2753,4.7111,0.29966,0.65051,0.106,3763.9,3690.2,0.0,B,0.15666,False,BJ2018
2MASS J08371505+4433363,917021667120592128,8.6261,8.555,8.4646,8.7878,8.49601,8.61528,0.992,1179.9,1183.8,0.0,A,0.01327,False,BJ2018
2MASS J07374299+4342528,925367368397040256,9.2645,8.5868,8.6934,9.8551,8.45028,8.74972,0.927,4058.2,4050.1,0.0,A,0.39483,False,BJ2018
TYC 3410-321-1,934289561658337792,7.8391,7.8716,7.748,7.9357,7.84694,7.89768,1.004,545.9,544.9,0.0,A,0.00429,False,BJ2018
Gaia DR3 939821616976287104,939821616976287104,0.9885,15.8645,0.9745,1.0019,14.14703,17.71728,16.049,-90.3,-1297.8,0.0,A,0.0241,False,BJ2018
SAO 59513,944387686902569728,6.5938,6.4616,6.4169,6.7708,6.42951,6.49756,0.98,-1830.1,-1802.6,0.0,A,0.02384,False,BJ2018
2MASS J07020955+3710165,946131027011850240,4.6393,4.7921,4.1513,5.1666,4.64178,4.9648,1.033,-3753.3,-3703.0,0.0,A,0.23011,False,BJ2018
TYC 2965-1381-1,949035180817927552,5.7452,6.2074,5.4508,6.0395,6.08759,6.32669,1.08,-3218.8,-3397.4,0.0,A,0.08565,False,BJ2018
2MASS J07112738+4309000,950052984987961472,4.6236,4.0544,4.0244,5.4738,3.865,4.29082,0.877,2660.3,2357.6,0.0,A,0.02377,False,BJ2018
HD 50720,950689984474189184,8.3875,8.5792,7.9043,8.9378,8.37643,8.88115,1.023,643.2,658.7,0.0,B,0.00123,False,BJ2018
HD 51611B,951361682999861888,1.7683,2.1878,1.6432,1.8914,2.16677,2.20507,1.237,1960.5,1945.3,0.0,A,0.06321,False,BJ2018
HD 51611,951361682999861504,2.4525,2.5821,2.2616,2.6445,2.55609,2.60936,1.053,1974.9,1960.3,0.0,A,0.02006,False,BJ2018
56 Aur,952326504452337792,7.9292,7.9273,7.8236,8.0394,7.89488,7.96793,1.0,528.8,526.0,0.0,A,0.0005,False,BJ2018
HD 43457,960104651569501696,7.2455,7.2491,7.1231,7.3663,7.21547,7.28104,1.0,1037.3,1027.7,0.0,A,0.0037,False,BJ2018
Gaia DR3 960500170815221248,960500170815221248,9.2847,10.2617,8.7741,9.8416,10.07396,10.47321,1.105,-2288.9,-2412.2,0.0,B,0.07297,False,BJ2018
TYC 2939-2318-1,961700047239559936,8.2817,8.0631,7.9651,8.6429,7.99445,8.13422,0.974,1737.8,1710.0,0.0,A,0.00929,False,BJ2018
TYC 3374-1389-1,963335807006167552,4.3724,4.1399,4.0955,4.6744,4.10387,4.18438,0.947,2515.3,2508.3,0.0,A,0.04445,False,BJ2018
2MASS J06065296+4611590,963337147035963392,4.1975,4.2151,4.0247,4.3836,4.11583,4.32043,1.004,2476.6,2526.9,0.0,A,0.0441,False,BJ2018
TYC 2949-1303-1,963836260891430784,6.565,5.5231,6.1189,7.0801,5.447,5.60918,0.841,4024.3,4018.7,0.0,A,0.0525,False,BJ2018
TYC 3394-2221-1,966600123887017216,5.7688,5.5259,5.5153,6.0435,5.48877,5.5676,0.958,1922.6,1906.5,0.0,A,0.07823,False,BJ2018
2MASS J06480197+4702020,966606751020145408,6.3038,5.8754,5.7296,6.8811,5.7672,5.96935,0.932,3014.5,2986.4,0.0,A,0.08401,False,BJ2018
PM J06175+4645,968701801708280448,7.3946,7.4568,7.2893,7.5057,7.42341,7.50101,1.008,410.5,414.4,0.0,A,0.00051,False,BJ2018
HD 40650,969752767321089792,4.7133,4.7039,4.6847,4.743,4.69377,4.71468,0.998,342.6,340.9,0.0,A,0.00042,False,BJ2018
HIP 29035,971931926350947712,5.732,5.6697,5.3717,6.1547,5.61656,5.73996,0.989,-4980.0,-4961.8,0.223,A,0.21016,False,BJ2018
GJ 272,974536192658255104,9.5017,9.5698,9.421,9.5837,9.53528,9.60039,1.007,358.4,360.0,0.0,A,0.00014,False,BJ2018
GJ 1095,974887555341533440,2.9438,2.9396,2.9229,2.9646,2.93351,2.9459,0.999,-188.0,-188.1,0.0,A,3e-05,False,BJ2018
22 Lyn,976893923544104576,9.0728,9.043,8.9706,9.1705,8.98558,9.1097,0.997,592.7,592.0,0.0,B,0.00196,False,BJ2018
HD 233316,979235226180420096,7.1724,7.1567,7.049,7.3003,7.1258,7.1826,0.998,1460.1,1435.5,0.0,A,0.0424,False,BJ2018
2MASS J07105220+5228183,981375326780564608,1.3375,1.3227,1.3055,1.3711,1.31162,1.33342,0.989,507.4,505.7,0.0,A,0.0011,False,BJ2018
Gaia DR3 984873869700410112,984873869700410112,8.6624,10.7393,7.2636,10.3875,10.01189,11.85567,1.24,4968.2,4928.0,0.398,B,0.27087,False,BJ2018
HD 233429,985195030175894912,8.6836,8.4647,8.5546,8.8161,8.43211,8.4969,0.975,831.3,823.8,0.0,A,0.00509,False,BJ2018
TYC 3785-593-1,987087491549682176,8.0901,8.179,6.7207,10.1335,8.03941,8.34057,1.011,2167.8,2119.2,0.0,B,0.09823,False,BJ2018
2MASS J07212113+5454397,987303343721612160,2.2573,2.2384,1.9774,2.6101,2.18341,2.31064,0.992,3818.2,3713.1,0.0,A,0.12769,False,BJ2018
2MASS J06202682+5232412,995616678124874240,6.3979,5.8196,5.2702,7.6923,5.6659,5.9911,0.91,3910.9,3991.1,0.0,A,0.28206,False,BJ2018
HIP 33322,999934361503498880,8.239,8.2355,8.1446,8.3309,8.20402,8.26231,1.0,612.0,610.8,0.0,A,0.00333,False,BJ2018
2MASS J06280768+6322170,1007441655099965824,3.9496,3.7929,3.7303,4.2059,3.67328,3.92031,0.96,2158.7,2131.1,0.0,A,0.04292,False,BJ2018
LFT 635,1022456104850892928,6.1646,6.1672,6.156,6.1729,6.16411,6.17123,1.0,-26.9,-26.8,0.0,A,0.0,False,BJ2018
LFT 634,1022456139210632064,6.1861,6.1923,6.1795,6.1923,6.1891,6.19512,1.001,-26.2,-25.7,0.0,A,0.0,False,BJ2018
2MASS J09162849+5347371,1022806295008257536,2.4598,3.2918,2.2624,2.6642,3.259,3.3345,1.338,-3742.0,-3870.4,0.0,A,0.4005,False,BJ2018
2MASS J09381853+5641076,1025217425224704640,5.8706,5.3348,5.5471,6.1792,5.27801,5.38462,0.909,1714.5,1668.8,0.0,A,0.11826,False,BJ2018
