name,simbad_id,source_id,hip,sp_type,system,dist_now_pc,ra,dec,parallax,parallax_error,parallax_catalog,parallax_source,pmra,pmdec,pmra_error,pmdec_error,rv,rv_error,rv_source,rv_component,system_parent,x,y,z,vx,vy,vz,gal_dmin_pc,gal_tmin_myr,lin_dmin_pc,lin_tmin_myr,mc_dmin_med,mc_dmin_lo,mc_dmin_hi,mc_tmin_med,mc_tmin_lo,mc_tmin_hi,mc_censored,mc_model,sys_dmin_pc,sys_dominant,zp_dmin_pc,grade,rv_reliability,astrom_flag,is_wd,featured
Gaia DR3 2163433717746084352,,2163433717746084352,,,-1,51.778629267189636,315.19606885875226,45.50294860576271,19.312987117518503,0.012792123,,,38.83558270705388,8.504070784115303,0.01469562,0.014296951,-23.35166,0.1467723,gaia,,,3.0540383914567912,51.68665257556241,-0.43502163817746614,-9.219677386112892,-22.89554492907822,-5.595995335353542,19.924973,1.845458,19.964351534701418,1.8457792322811781,19.94025,19.81762,20.04374,1.84637,1.83712,1.85433,0.000,integrated,0.00732,disc scale height 0.20 kpc,0.09504,A,good,,0,
ζ Aqr,* zet Aqr,,110960,F2V++F2.5IV-V,-1,28.169014084507047,337.2075006005298,-0.02006525127564514,35.5,1.26,,,182.92,50.36,2.17,3.27,25.3,0.5,simbad,,,8.111097437851358,17.67857555504513,-20.375755671665242,-16.156019662913373,15.561310395576442,-27.90656276168345,19.929692,-0.543366,19.932228338656312,-0.5435862633463217,19.94034,18.80220,21.24851,-0.54307,-0.54888,-0.53640,0.000,integrated,0.00106,disc scale height 0.20 kpc,0.04201,B,literature,,0,
Gaia DR3 4165038281824686208,,4165038281824686208,,,-1,291.3416754022175,265.2288599138946,-9.720422915574435,3.4323959955932506,0.031844556,,,4.424044222784499,2.0544150617697428,0.031469863,0.024436083,-98.87443,8.628808,gaia,,,275.0568979088173,78.7482336218709,54.97627161225806,-94.17193980498222,-21.208955286795007,-22.435728285175863,20.041065,2.872067,19.804306426442547,2.8678324489588083,19.94143,18.41671,22.03096,2.86425,2.64409,3.15331,0.000,integrated,0.15032,disc scale height 0.20 kpc,0.57294,C,low_snr,,0,
Gaia DR3 578785124180500352,G  46-25,578785124180500352,,,-1,37.1178874757653,137.5415197803633,2.769245621726173,26.941188413616256,0.025279375,,,-152.96768237599463,-183.97709008821965,0.024955936,0.02100227,66.07395,0.31803834,gaia,,,-21.22652963689356,-23.308418399316427,19.593101897353094,-41.341339313715956,-66.53979961172024,1.227717161746584,19.937978,-0.390798,19.945459776748077,-0.390680735465011,19.94204,19.86317,20.01871,-0.39078,-0.39168,-0.38999,0.000,integrated,0.00263,disc scale height 0.20 kpc,0.06317,B,good,high_ruwe,0,
Gaia DR3 5829938304951673088,,5829938304951673088,,,-1,321.54338445315153,249.7073568582641,-62.96359030475172,3.11000023123069,0.27994722,,,8.001686508952227,4.1641665125815175,0.21032073,0.26242182,-221.00409,12.292734,gaia,,,261.091943422146,-178.0048028341498,-59.459526853226464,-173.04430205582227,133.4260316156905,35.84716557319388,20.042200,1.417268,19.965781202390033,1.4171249290478798,19.94366,16.90600,24.06823,1.42116,1.29134,1.57936,0.000,integrated,0.02925,disc scale height 0.20 kpc,0.62916,C,low_snr,high_ruwe,0,
GJ 4291,HD 215152,2623505219992303104,,K3V,-1,21.583148840914724,340.8380725457107,-6.402108803282873,46.33244237765348,0.023791505,,,-154.09504702288245,-289.9150964638309,0.024051458,0.021553265,-13.880957,0.12659596,gaia,,,6.20184499122133,11.344745734816517,-17.281961023168176,22.788509169981943,-27.274436088984537,7.6093227945754505,19.945460,0.221941,19.947226551890118,0.2217383899941439,19.94445,19.91454,19.97495,0.22187,0.22041,0.22343,0.000,integrated,0.00064,disc scale height 0.20 kpc,0.02464,A,good,,0,
LTT 2614,,2894666773339058688,,,-1,25.89067703520145,99.93145563292683,-29.029894344276972,38.6239416852785,0.017885396,,,133.33818493779458,172.6529754884343,0.016777998,0.018556882,22.18706,0.46839127,gaia,,,-13.183429444414413,-21.233292100705693,-6.75808049607016,-25.661899592087334,-16.447086527873008,16.735466583887312,19.929953,-0.465016,19.935339163753614,-0.4645387245525357,19.94484,19.77240,20.09467,-0.46483,-0.46658,-0.46322,0.000,integrated,0.00150,disc scale height 0.20 kpc,0.03626,A,good,,0,
Gaia DR3 6397940552940960512,,6397940552940960512,,,-1,84.50150917750796,335.7981475755488,-67.58877432224855,11.834108168403855,0.6912959,,,-24.82642663608842,-19.094019498627013,0.5831763,0.74028254,51.92573,13.508907,gaia,,,47.719940278568544,-37.95946141929005,-58.501210601522956,36.70308316425982,-27.95979448314698,-26.922432157167844,19.589399,-1.502813,19.845732473587177,-1.5034459115792231,19.94616,15.36073,26.03298,-1.52975,-1.93741,-1.21537,0.000,integrated,0.08645,disc scale height 0.20 kpc,0.15884,C,low_snr,high_ruwe,0,
Gaia DR3 3442978378703965952,PM J05387+2938,3442978378703965952,,M0,-1,49.37880986745972,84.68868676871523,29.64803272515606,20.251601905435813,0.016272306,,,-38.66707635434704,-66.61014500100654,0.018708298,0.01275414,40.85958,0.3089475,gaia,,,-49.358149935502695,1.2012649204564043,-0.7725680954156028,-40.79592533409855,-7.365814423261514,-16.61255135911707,19.929348,-0.989776,19.933515721784165,-0.9890959633124302,19.94733,19.82293,20.07265,-0.99050,-0.99556,-0.98517,0.000,integrated,0.00339,disc scale height 0.20 kpc,0.09009,A,good,,0,
Gaia DR3 6596697272732369792,UCAC4 268-198988,6596697272732369792,,,-1,31.51886465123867,339.32844318804746,-36.40564328274811,31.727031130884995,0.019215591,,,93.68119352304429,7.161875782129142,0.019779941,0.018130248,17.191507,0.3176067,gaia,,,15.569992314229724,1.7374572650199738,-27.349504757676314,-3.470874614387092,-1.399728925089017,-21.877187460789493,19.934134,-1.072616,19.935424091164883,-1.075526754325518,19.94756,19.68157,20.14109,-1.07267,-1.07627,-1.06794,0.000,integrated,0.00347,disc scale height 0.20 kpc,0.05012,A,good,,0,
Gaia DR3 315503216618709248,,315503216618709248,,,-1,88.60854881355979,23.15260001337836,31.53282506223174,11.285592794258356,0.029104069,,,-18.975017203062272,17.09856467262127,0.024116935,0.02182587,-46.413094,2.2027225,gaia,,,-52.168744797595366,55.718760463897944,-45.00351898968722,32.07251888741195,-20.853847517514062,28.385853962833586,19.972671,1.769183,19.95671687578825,1.772039767500956,19.94758,19.18039,20.79480,1.76527,1.70183,1.83659,0.000,integrated,0.02820,disc scale height 0.20 kpc,0.17127,A,good,,0,
Gaia DR3 512858200829480704,,512858200829480704,,,-1,50.489205730698764,24.998650950650138,63.775465477951705,19.806213734750315,0.01286837,,,97.0941662384744,28.67303006617643,0.009745118,0.013688515,-56.357132,0.15517746,gaia,,,-31.258756118512494,39.62968180285988,1.240315058466653,18.14581804775285,-57.791208598803614,9.704047916364459,19.947958,0.739229,19.94278800467448,0.7393148410685796,19.94807,19.90470,19.99415,0.73921,0.73794,0.74063,0.000,integrated,0.00087,disc scale length -0.5 kpc,0.09255,A,good,,0,
Gaia DR3 724181586899612928,,724181586899612928,,,-1,220.46969572516144,159.35375089524388,24.712831249095295,4.535770763010463,0.018428631,,,1.3714160824550476,3.4825279701940404,0.017125607,0.017234324,47.44072,10.181813,gaia,,,-95.99133673468491,-55.16551527880643,190.6549656553885,-20.665446541859886,-8.111588734727537,42.10777970420187,19.347669,-4.407053,18.117439401321054,-4.5133756080048135,19.94930,16.47566,32.08053,-4.51343,-5.00000,-3.80751,0.289,integrated,0.35763,disc scale height 0.20 kpc,0.42503,A,good,,0,
Gaia DR3 3125113282265023488,,3125113282265023488,,,-1,121.02222798941769,96.66990409067553,3.4245460812735096,8.262944887177595,0.02647202,,,4.573896651527459,-89.15246048103252,0.027028488,0.021267151,306.52933,0.13815166,gaia,,,-107.53011638971212,-54.90749282888708,-8.29584040247117,-249.8753058119918,-179.88668399514341,-42.26394377657104,19.948477,-0.375568,19.943677260744316,-0.37556273165755905,19.95011,19.84059,20.07264,-0.37558,-0.37672,-0.37459,0.000,integrated,0.00054,halo scale radius -20%,0.23606,A,good,,0,
